size,runs,converged,mean_episode,median_episode,std_episode,convergence_%
11,100,100,254.5,250.0,137.27046957806266,100.0
21,100,100,445.0,450.0,302.47297232959346,100.0
31,100,100,680.5,650.0,261.7824488101724,100.0
